file_name,file_id,file_url,parent_folder_name,parent_folder_id,mime_type,created,modified,size_bytes,owner,project,sub_topic,type,status,summary_50w,linked_projects,value_score,action,enrichment_status
Axon_prompt,1Namz47QNrgHclWgcSKVm29OtcDp7spY4xey3vdY0MbA,https://docs.google.com/document/d/1Namz47QNrgHclWgcSKVm29OtcDp7spY4xey3vdY0MbA/edit?usp=drivesdk,Axon_SMM,1nBlGn3bYXJZsi5Rv0Ox_WriMaVtsei2z,application/vnd.google-apps.document,29.03.2026,29.03.2026,1024,dogecryptoco@gmail.com,Axon Agency,,,,,,,,RULE_DONE
Инструкции для промптов LA,1_ZIp7jxKOTelR-g9TPk9gPyZbu0ryQlUKbzbvc-ULWA,https://docs.google.com/document/d/1_ZIp7jxKOTelR-g9TPk9gPyZbu0ryQlUKbzbvc-ULWA/edit?usp=drivesdk, LASMM,1rxH6M-6qhKglP7p3_MY-ld-2f9WckjTt,application/vnd.google-apps.document,18.03.2026,30.03.2026,10887,dogecryptoco@gmail.com,Leaders Advocates,Система производства контента,Инструкции для промптов,,"Система производства контента для Leaders Advocates, юридической фирмы в Дубае. Определяет позиционирование как надежного партнера, адаптирует контент под сезонные потребности (регистрация компаний, ВНЖ, недвижимость). Стратегическая цель: выявить боль клиента, показать риски, построить доверие через 30-летний опыт и сгенерировать лиды для бесплатных консультаций.",Leaders Legal Consultancy FZ LLC,5,KEEP,AI_DONE
Audit Log.xlsx,1D5GosgRJTcxA2yV2KAao8j6NJzaJUaBi5moFfEdDrHk,https://docs.google.com/spreadsheets/d/1D5GosgRJTcxA2yV2KAao8j6NJzaJUaBi5moFfEdDrHk/edit?usp=drivesdk,Audit and Reports,1yanPsV5yds_FwFiImqMd9bbd6OrybrAQ,application/vnd.google-apps.spreadsheet,14.10.2025,20.10.2025,19482,dogecryptoco@gmail.com,Axon Agency,Agent Onboarding Automation,System Audit Log,,"Audit log details the successful automated onboarding of a new agent, ""Тестов Агент"". The system created and configured a Google Form and Sheet, generated a referral link, and added the agent to the sub-agent database. Despite an initial warning, the process completed successfully, demonstrating robust system functionality.","Axon Agency, AvoInvestGroup, 100Trust, AVOuniverse",5,KEEP,AI_DONE
Alexa_prompt,1gFyMr0YaBaGYsJ3uHETaXZu3ppN9Kjgcrmk-aM4hUxQ,https://docs.google.com/document/d/1gFyMr0YaBaGYsJ3uHETaXZu3ppN9Kjgcrmk-aM4hUxQ/edit?usp=drivesdk,Alexa_SMM,1dBbgozFGvEIFHJ-DeTD5XxRY_jp8fvOr,application/vnd.google-apps.document,29.03.2026,29.03.2026,1024,dogecryptoco@gmail.com,Личное,SMM Content Prompts & Strategy,Marketing Asset / Strategic Document,,"File 'Alexa_prompt' from 'Alexa_SMM' folder. Contains SMM prompts/guidelines for Alexander Tyurin's personal brand or projects. A strategic document for content creation and online presence, enhancing his public profile and capital index.","Integra Motors Dubai, Axon Agency, Leaders Advocates, Maritime Wolf Advisory, Ювелирный дом Золотов, AvoInvestGroup, AVOuniverse, 100Trust, Контент-завод",4,KEEP,AI_DONE
CAPITAL_INDEX_2026,1jblJO_9u7gS0r8IraWgKOfErXuWCYcj1CnRJex5WNKk,https://docs.google.com/spreadsheets/d/1jblJO_9u7gS0r8IraWgKOfErXuWCYcj1CnRJex5WNKk/edit?usp=drivesdk,_ROOT_,root,application/vnd.google-apps.spreadsheet,2026-04-27T12:32:50.009Z,2026-04-27T12:38:06.479Z,1024,dogecryptoco@gmail.com,Капитал-индекс,Investment Portfolio Analysis,Financial Analysis,,"Analysis of Alexander Tyurin's Capital Index for 2026, focusing on the structure and performance of various linked projects. This document evaluates the strategic importance and contribution of each venture to the overall capital portfolio.","Integra Motors Dubai, Axon Agency, Leaders Advocates, Maritime Wolf Advisory, Ювелирный дом Золотов, AvoInvestGroup, AVOuniverse, 100Trust, Контент-завод",5,KEEP,AI_DONE
CapitalIndex,1rRYktmXftJrVEbCpyIFIYMGMxeG1yVxO2CiO9_2dBU3B2U9B1HHLmtSi,https://script.google.com/d/1rRYktmXftJrVEbCpyIFIYMGMxeG1yVxO2CiO9_2dBU3B2U9B1HHLmtSi/edit?usp=drivesdk,_ROOT_,root,application/vnd.google-apps.script,2026-04-27T12:31:26.884Z,2026-04-27T12:38:01.912Z,0,dogecryptoco@gmail.com,Капитал-индекс,Alexander Tyurin's Capital Index Data,Бинарный файл/Медиа,,"Binary/media file 'CapitalIndex' in _ROOT_ folder, detailing Alexander Tyurin's capital index. It likely contains financial data and portfolio information related to his diverse projects including Integra Motors Dubai, Axon Agency, Leaders Advocates, Maritime Wolf Advisory, Ювелирный дом Золотов, AvoInvestGroup, AVOuniverse, 100Trust, and Контент-завод, crucial for understanding his investments.","Integra Motors Dubai, Axon Agency, Leaders Advocates, Maritime Wolf Advisory, Ювелирный дом Золотов, AvoInvestGroup, AVOuniverse, 100Trust, Контент-завод",5,KEEP,AI_DONE
Article for the website on maritime law,1zxTidSR-D7XEMW59-uQ_G5q27AAcBbRI-yr7-pRBOS8,https://docs.google.com/document/d/1zxTidSR-D7XEMW59-uQ_G5q27AAcBbRI-yr7-pRBOS8/edit?usp=drivesdk,_ROOT_,root,application/vnd.google-apps.document,2026-04-27T10:55:54.555Z,2026-04-27T11:01:01.392Z,15263,dogecryptoco@gmail.com,Maritime Wolf Advisory,,,,,,,,RULE_DONE
Уточнение задачи по статье о морском праве,1O1icH7NhWcdbrW82yGWKnT5H8zKp0_hBkAKyH6qpviQ,https://docs.google.com/document/d/1O1icH7NhWcdbrW82yGWKnT5H8zKp0_hBkAKyH6qpviQ/edit?usp=drivesdk,_ROOT_,root,application/vnd.google-apps.document,2026-04-27T10:46:05.706Z,2026-04-27T10:46:10.415Z,38091,dogecryptoco@gmail.com,Maritime Wolf Advisory,,,,,,,,RULE_DONE
Новый документ,1z1fK8eMGeHa8VuAIqhl9LzMPziSf3Y_wDdREAA-XzoY,https://docs.google.com/document/d/1z1fK8eMGeHa8VuAIqhl9LzMPziSf3Y_wDdREAA-XzoY/edit?usp=drivesdk,_ROOT_,root,application/vnd.google-apps.document,2026-04-27T06:26:56.138Z,2026-04-27T06:32:01.600Z,6066,dogecryptoco@gmail.com,UNCATEGORIZED,,Черновик,,,,1,REVIEW,RULE_DONE
Integra_Motors_Price_List,1ZAA2rVvOnds8HkQf-IN7hG1InwMvy1cqVQkwy0YIRbY,https://docs.google.com/document/d/1ZAA2rVvOnds8HkQf-IN7hG1InwMvy1cqVQkwy0YIRbY/edit?usp=drivesdk,_ROOT_,root,application/vnd.google-apps.document,2026-04-27T06:15:11.212Z,2026-04-27T06:19:53.001Z,13565,dogecryptoco@gmail.com,Integra Motors Dubai,,Прайс,,,,,,RULE_DONE
Прайс-лист: Обслуживание автокондиционеров (Дубай),1ax8NB-17XAYwA9-WQ8JgiS4cRbfLM4gwmllbrnf2uiI,https://docs.google.com/document/d/1ax8NB-17XAYwA9-WQ8JgiS4cRbfLM4gwmllbrnf2uiI/edit?usp=drivesdk,_ROOT_,root,application/vnd.google-apps.document,2026-04-24T12:33:11.471Z,2026-04-24T12:33:12.904Z,3765,dogecryptoco@gmail.com,Integra Motors Dubai,,Прайс,,,,,,RULE_DONE
Integra Motors — бриф для собственника,1oMsnhhvY5MWYxXsiMV36Hz8vpw2PxiH2OnhsQG64bXs,https://docs.google.com/document/d/1oMsnhhvY5MWYxXsiMV36Hz8vpw2PxiH2OnhsQG64bXs/edit?usp=drivesdk,_ROOT_,root,application/vnd.google-apps.document,2026-04-24T06:25:32.005Z,2026-04-24T06:34:57.969Z,9152,dogecryptoco@gmail.com,Integra Motors Dubai,,,,,,,,RULE_DONE
Integra Motors — план выхода в плюс,1tsJCRu11Y8UEc2_kfwWiczWD5kVNREpbnpzr_UQpkPg,https://docs.google.com/spreadsheets/d/1tsJCRu11Y8UEc2_kfwWiczWD5kVNREpbnpzr_UQpkPg/edit?usp=drivesdk,_ROOT_,root,application/vnd.google-apps.spreadsheet,2026-04-24T05:49:09.689Z,2026-04-24T05:53:52.205Z,23609,dogecryptoco@gmail.com,Integra Motors Dubai,,,,,,,,RULE_DONE
Финансовый план развития Integra Motors Dubai v1.0,1U9qjwQCAKktsutjefPfcL-XLW-ulQT3bWYUWJ66uiRc,https://docs.google.com/document/d/1U9qjwQCAKktsutjefPfcL-XLW-ulQT3bWYUWJ66uiRc/edit?usp=drivesdk,_ROOT_,root,application/vnd.google-apps.document,2026-04-23T15:02:38.993Z,2026-04-23T15:02:40.443Z,5317,dogecryptoco@gmail.com,Integra Motors Dubai,,,,,,,,RULE_DONE
Новый документ,16zjXWufXURCyHbw3loBRl5lfWiL6vrz7E6rZWc8769s,https://docs.google.com/document/d/16zjXWufXURCyHbw3loBRl5lfWiL6vrz7E6rZWc8769s/edit?usp=drivesdk,_ROOT_,root,application/vnd.google-apps.document,2026-04-21T07:20:58.655Z,2026-04-21T07:22:42.296Z,2265,dogecryptoco@gmail.com,UNCATEGORIZED,,Черновик,,,,1,REVIEW,RULE_DONE
TZ_DOCS_REWORK.md,1OAYzxgjVFdPjzpDvkBAcBj-PvQrwPC0CGXstA7ugQyM,https://docs.google.com/document/d/1OAYzxgjVFdPjzpDvkBAcBj-PvQrwPC0CGXstA7ugQyM/edit?usp=drivesdk,_ROOT_,root,application/vnd.google-apps.document,2026-04-18T06:13:27.459Z,2026-04-18T06:13:29.510Z,39782,dogecryptoco@gmail.com,Integra Motors Dubai,Comprehensive Documentation Rework,Technical Specification / Documentation Project,,"Comprehensive rework of Integra Motors documentation to create structured, consistent, and scalable project documents. It covers architecture, domain, UIs (backoffice, portal, mobile, Telegram Mini App), APIs, business processes, and integrations. Key focus on AI as a horizontal layer and a new Vehicle Owner Assistant module, providing a single entry point.",Integra Motors Dubai,5,KEEP,AI_DONE
Car Repair Invoice V2 - Labor and Parts,1fga8efK4oizxkCqTWWU4ALJ0dCXEVnBvYPGeCv13eA0,https://docs.google.com/document/d/1fga8efK4oizxkCqTWWU4ALJ0dCXEVnBvYPGeCv13eA0/edit?usp=drivesdk,_ROOT_,root,application/vnd.google-apps.document,2026-04-16T07:49:28.674Z,2026-04-16T07:49:29.447Z,3053,dogecryptoco@gmail.com,Integra Motors Dubai,Car repair and maintenance costs,Invoice,,"Detailed invoice for car repair services and spare parts. It includes labor costs for engine, suspension, and cooling system repairs, totaling $3,250.00, and parts costs for various components, totaling $7,862.00. The grand total for the service is $11,112.00.",,4,KEEP,AI_DONE
Car Repair Services Cost,1So6jfqV854_wmeV_kS8162-V6jLYXLWhImMub1t5jBQ,https://docs.google.com/spreadsheets/d/1So6jfqV854_wmeV_kS8162-V6jLYXLWhImMub1t5jBQ/edit?usp=drivesdk,_ROOT_,root,application/vnd.google-apps.spreadsheet,2026-04-16T07:37:26.020Z,2026-04-16T07:37:36.347Z,1024,dogecryptoco@gmail.com,Integra Motors Dubai,Car Repair Services Cost,Financial Data,,"This file details various car repair services and their costs in USD, including engine oil leak repair, shock absorber replacement, and control arm replacements. It provides a breakdown of typical vehicle maintenance expenses, useful for budgeting or service pricing.",Integra Motors Dubai,4,KEEP,AI_DONE
Новый документ,18irWErHHaOCTT4RQ3UE25-pLjynhuxKOuWFeuH2N2-I,https://docs.google.com/document/d/18irWErHHaOCTT4RQ3UE25-pLjynhuxKOuWFeuH2N2-I/edit?usp=drivesdk,_ROOT_,root,application/vnd.google-apps.document,2026-04-16T06:20:22.884Z,2026-04-16T06:37:17.741Z,2399,dogecryptoco@gmail.com,UNCATEGORIZED,,Черновик,,,,1,REVIEW,RULE_DONE
IM_WorkOrder_V21105_EN.docx,17M45txFjankFDZESa3Q2XVklKIh7U3nZ,https://docs.google.com/document/d/17M45txFjankFDZESa3Q2XVklKIh7U3nZ/edit?usp=drivesdk&ouid=101708733213203704249&rtpof=true&sd=true,_ROOT_,root,application/vnd.openxmlformats-officedocument.wordprocessingml.document,2026-04-14T04:49:00.050Z,2026-04-14T04:49:00.050Z,18670,dogecryptoco@gmail.com,Integra Motors Dubai,,,,,,,,RULE_DONE
IM_Parts_Comparison_BMW_X5.xlsx,1ZP5iBQOASSyQaLCWp3_FS12LKH3-I5aC,https://docs.google.com/spreadsheets/d/1ZP5iBQOASSyQaLCWp3_FS12LKH3-I5aC/edit?usp=drivesdk&ouid=101708733213203704249&rtpof=true&sd=true,_ROOT_,root,application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,2026-04-14T04:09:31.542Z,2026-04-14T04:10:01.356Z,13783,dogecryptoco@gmail.com,Integra Motors Dubai,Запчасти/Авто,,,,,,,RULE_DONE
IM_Parts_Comparison_BMW_X5.xlsx,1oG0KlQ40qOq1BzQsEiEyV4ND2x5rtUXF,https://docs.google.com/spreadsheets/d/1oG0KlQ40qOq1BzQsEiEyV4ND2x5rtUXF/edit?usp=drivesdk&ouid=101708733213203704249&rtpof=true&sd=true,_ROOT_,root,application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,2026-04-13T17:43:27.267Z,2026-04-14T03:30:02.595Z,13725,dogecryptoco@gmail.com,Integra Motors Dubai,Запчасти/Авто,,,,,,,RULE_DONE
Спецификация запчастей BMW X5 E70,1y1ntkIYtMxRQTYxRDWBZSwrvi4o_R9FaiKNWmQA-Byc,https://docs.google.com/spreadsheets/d/1y1ntkIYtMxRQTYxRDWBZSwrvi4o_R9FaiKNWmQA-Byc/edit?usp=drivesdk,_ROOT_,root,application/vnd.google-apps.spreadsheet,2026-04-13T17:57:58.098Z,2026-04-13T17:58:43.736Z,1024,dogecryptoco@gmail.com,Integra Motors Dubai,Запчасти/Авто,,,,,,,RULE_DONE
IM_Parts_Comparison_BMW_X5.xlsx,1TH6hvE9p50lWTZHPHne14oCTdBX03VH-,https://docs.google.com/spreadsheets/d/1TH6hvE9p50lWTZHPHne14oCTdBX03VH-/edit?usp=drivesdk&ouid=101708733213203704249&rtpof=true&sd=true,_ROOT_,root,application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,2026-04-13T11:21:18.067Z,2026-04-13T11:21:18.067Z,9552,dogecryptoco@gmail.com,Integra Motors Dubai,Запчасти/Авто,,,,,,,RULE_DONE
IM_Parts_Comparison_BMW_X5.xlsx,1GznfzeI57iSOI6d6GryYEe1GjazWD6R2,https://docs.google.com/spreadsheets/d/1GznfzeI57iSOI6d6GryYEe1GjazWD6R2/edit?usp=drivesdk&ouid=101708733213203704249&rtpof=true&sd=true,_ROOT_,root,application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,2026-04-13T09:02:21.312Z,2026-04-13T09:19:01.741Z,13146,dogecryptoco@gmail.com,Integra Motors Dubai,Запчасти/Авто,,,,,,,RULE_DONE
IM_SupplierRFQ_BMW_X5_EN.docx,1Fp3PeXcwlsP538jm9nlrFcoDkPII6uJ0,https://docs.google.com/document/d/1Fp3PeXcwlsP538jm9nlrFcoDkPII6uJ0/edit?usp=drivesdk&ouid=101708733213203704249&rtpof=true&sd=true,_ROOT_,root,application/vnd.openxmlformats-officedocument.wordprocessingml.document,2026-04-13T09:13:23.557Z,2026-04-13T09:13:23.557Z,22435,dogecryptoco@gmail.com,Integra Motors Dubai,Запчасти/Авто,,,,,,,RULE_DONE
IM_SupplierRFQ_BMW_X5_EN_FORMATTED,1-vz8QL2OxhTb0TZWB8LyQVkTPJ5VMnQ26bX6lZY89BY,https://docs.google.com/document/d/1-vz8QL2OxhTb0TZWB8LyQVkTPJ5VMnQ26bX6lZY89BY/edit?usp=drivesdk,_ROOT_,root,application/vnd.google-apps.document,2026-04-13T07:18:15.399Z,2026-04-13T07:18:17.920Z,18804,dogecryptoco@gmail.com,Integra Motors Dubai,Запчасти/Авто,,,,,,,RULE_DONE
Integra_Motors_Financial_Plan.docx,135aYSDNXzBRT3ITXt7srjYIpzNlqaJpZ,https://docs.google.com/document/d/135aYSDNXzBRT3ITXt7srjYIpzNlqaJpZ/edit?usp=drivesdk&ouid=101708733213203704249&rtpof=true&sd=true,_ROOT_,root,application/vnd.openxmlformats-officedocument.wordprocessingml.document,2026-04-12T13:27:11.086Z,2026-04-12T13:27:11.086Z,25080,dogecryptoco@gmail.com,Integra Motors Dubai,,,,,,,,RULE_DONE
IM_03_Costing_Internal_BMW_X5.docx,1ktkEObb9UM6nRmWeDSRWRm0DthOxLKiq,https://docs.google.com/document/d/1ktkEObb9UM6nRmWeDSRWRm0DthOxLKiq/edit?usp=drivesdk&ouid=101708733213203704249&rtpof=true&sd=true,_ROOT_,root,application/vnd.openxmlformats-officedocument.wordprocessingml.document,2026-04-11T13:49:35.968Z,2026-04-11T13:52:40.718Z,16287,dogecryptoco@gmail.com,Integra Motors Dubai,Запчасти/Авто,,,,,,,RULE_DONE
IM_PartsForClient_BMW_X5_v3.docx,1GwsPfbq1uaZXvVIW7opTY2opl29Wi1vI,https://docs.google.com/document/d/1GwsPfbq1uaZXvVIW7opTY2opl29Wi1vI/edit?usp=drivesdk&ouid=101708733213203704249&rtpof=true&sd=true,_ROOT_,root,application/vnd.openxmlformats-officedocument.wordprocessingml.document,2026-04-11T13:39:59.131Z,2026-04-11T13:45:21.669Z,18590,dogecryptoco@gmail.com,Integra Motors Dubai,Запчасти/Авто,,,,,,,RULE_DONE
IM_PartsForClient_BMW_X5_v2.docx,1zYxR6IEhCpHFsKMFhQc3gbOPenujjcod,https://docs.google.com/document/d/1zYxR6IEhCpHFsKMFhQc3gbOPenujjcod/edit?usp=drivesdk&ouid=101708733213203704249&rtpof=true&sd=true,_ROOT_,root,application/vnd.openxmlformats-officedocument.wordprocessingml.document,2026-04-11T13:22:29.741Z,2026-04-11T13:22:29.741Z,15450,dogecryptoco@gmail.com,Integra Motors Dubai,Запчасти/Авто,,,,,,,RULE_DONE
IM_PartsForClient_BMW_X5_Final.docx,1KGNpMsV6kN2cthAS3kBKSLnJL5-Y5rNd,https://docs.google.com/document/d/1KGNpMsV6kN2cthAS3kBKSLnJL5-Y5rNd/edit?usp=drivesdk&ouid=101708733213203704249&rtpof=true&sd=true,_ROOT_,root,application/vnd.openxmlformats-officedocument.wordprocessingml.document,2026-04-11T13:13:17.672Z,2026-04-11T13:13:17.672Z,14408,dogecryptoco@gmail.com,Integra Motors Dubai,Запчасти/Авто,,,,,,,RULE_DONE
Заказ-наряд на замену рулевого наконечника,1YyOQyzG3Isjd2-lDRRjBHXEQ8JqHUUGm5FCb8ouPS_8,https://docs.google.com/document/d/1YyOQyzG3Isjd2-lDRRjBHXEQ8JqHUUGm5FCb8ouPS_8/edit?usp=drivesdk,_ROOT_,root,application/vnd.google-apps.document,2026-04-10T13:14:19.453Z,2026-04-10T13:14:19.475Z,2844,dogecryptoco@gmail.com,Integra Motors Dubai,,Документ,,,,,,RULE_DONE
Заказ-наряд на замену рулевого наконечника,1-W-jWSaJt8X4eDbPBNb0uJ3wXxD0gGRM1Tx8wCL8s0c,https://docs.google.com/document/d/1-W-jWSaJt8X4eDbPBNb0uJ3wXxD0gGRM1Tx8wCL8s0c/edit?usp=drivesdk,_ROOT_,root,application/vnd.google-apps.document,2026-04-10T12:43:27.225Z,2026-04-10T12:44:15.356Z,3044,dogecryptoco@gmail.com,Integra Motors Dubai,,Документ,,,,,,RULE_DONE
Новая таблица,1vYmHBdviNmt8epz6mOCqdrH9toAxTd4SD3vnpLBx1To,https://docs.google.com/spreadsheets/d/1vYmHBdviNmt8epz6mOCqdrH9toAxTd4SD3vnpLBx1To/edit?usp=drivesdk,_ROOT_,root,application/vnd.google-apps.spreadsheet,2026-04-10T12:41:37.667Z,2026-04-10T12:41:42.026Z,1024,dogecryptoco@gmail.com,UNCATEGORIZED,,Черновик,,,,1,REVIEW,RULE_DONE
integra_inventory_office.xlsx,18_p7RLJyb4psI4Rv_A5Hznts9QpLhc-F,https://docs.google.com/spreadsheets/d/18_p7RLJyb4psI4Rv_A5Hznts9QpLhc-F/edit?usp=drivesdk&ouid=101708733213203704249&rtpof=true&sd=true,_ROOT_,root,application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,2026-04-10T07:41:04.264Z,2026-04-10T07:41:04.264Z,11208,dogecryptoco@gmail.com,Integra Motors Dubai,Office Inventory Management,Spreadsheet,,"This Excel file likely details the inventory of office assets, equipment, or stock for Integra Motors Dubai. It is crucial for operational management, asset tracking, and potentially financial reporting, providing a clear overview of the company's physical resources.",,4,KEEP,AI_DONE
integra_inventory_office.xlsx,1INFabTZGdXynak6fV6pSrGlQ5g05KTgx,https://docs.google.com/spreadsheets/d/1INFabTZGdXynak6fV6pSrGlQ5g05KTgx/edit?usp=drivesdk&ouid=101708733213203704249&rtpof=true&sd=true,_ROOT_,root,application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,2026-04-10T07:25:04.117Z,2026-04-10T07:25:04.117Z,11208,dogecryptoco@gmail.com,Integra Motors Dubai,Inventory & Office Assets Management,Spreadsheet,,"Detailed record of inventory and office assets for Integra Motors Dubai, likely used for operational tracking, financial valuation, and asset management within the company's operations.",None directly linked,4,KEEP,AI_DONE
